Original Repo Name,Stars,Family Count (All Forks),Family Count (Stars >= 10),Family Repo Names (Stars >= 10),Commit Count where from_repo contains original repo,Commit Count total commits (all chunks for repo),Forks with Unique Commits Count,PR Coverage Ratio,PR Merge Rate
carla-simulator/carla,13363,4221,5,asap-report/carla;geohot/carla;ZhuangYanDLUT/carla;MTDzi/carla;analog-garage/carla,8194,8947,5,0.4,0.8381041764
carlini/printf-tac-toe,2344,58,0,,1,1,0,,0
cartographer-project/cartographer,7711,2196,3,ros2/cartographer;tu-darmstadt-ros-pkg/hectorgrapher;hitcm/cartographer,1183,1578,3,0.6666666667,0.8998470948
cashapp/zipline,2232,194,1,swankjesse/jni-example,2356,2361,1,0,0.9265988372
catboost/catboost,8694,1272,1,mmaluy1993/catboost,50051,50051,0,0,0.5135746606
catchorg/Catch2,20021,3293,1,colonelsammy/Catch,4960,5014,1,1,0.6346516008
cboxdoerfer/fsearch,3898,246,0,,2990,2990,0,,0.6794871795
cc65/cc65,2566,500,0,,12108,12108,0,,0.8664097624
cdcseacave/openMVS,3825,836,2,electech6/openMVS_comments;3DOM-FBK/openMVS,598,689,2,0,0.4861878453
cemu-project/Cemu,8706,696,5,SSimco/Cemu;SamoZ256/Cemu;CorySanin/Cemu;neebyA/Cemu;hauntek/Cemu,813,1637,5,0.6,0.7714285714
ceph/ceph,15872,6052,3,liewegas/ceph;SUSE/ceph;wuhongsong/ceph,219533,241255,3,,
ceres-solver/ceres-solver,4329,1063,1,evanlev/ceres-solver,2251,2252,1,0,0
cesanta/mongoose,12389,2784,3,Gregwar/mongoose-cpp;pfalcon-mirrors/mongoose-mit;ctrix/free-mongoose,6456,6555,2,0.3333333333,0.7732240437
cesanta/mongoose-os,2603,438,0,,4782,4782,0,,0.5221238938
cfenollosa/os-tutorial,29885,3343,3,ruiers/os-tutorial-cn;malwaredllc/os-tutorial;TheSpeedX/os-tutorial,148,157,1,0,0.1018518519
changkun/modern-cpp-tutorial,25221,3158,0,,288,288,0,,0.7419354839
checkedc/checkedc,3252,204,0,,591,591,0,,0.9452887538
checkpoint-restore/criu,3527,654,1,xemul/criu,13256,13547,1,1,0.7334887335
checkra1n/PongoOS,2649,406,3,konradybcio/pongoOS;palera1n/PongoOS;citruz/pongoOS-QEMU,408,984,3,0.3333333333,0.3541666667
chenshuo/muduo,15779,5267,1,AlexStocks/muduo,869,908,1,1,0.3551020408
chjj/compton,2263,244,4,tryone144/compton;BlackCapCoder/compton;DelusionalLogic/compton;jorchube/compton,443,1558,4,0.75,0.3103448276
chocolate-doom/chocolate-doom,2216,424,9,fabiangreffrath/crispy-doom;GooberMan/rum-and-raisin-doom;fgsfdsfgs/chocolate-doom;orsonteodoro/psdoom-ng1;drfrag666/RUDE;FrenkelS/chocolate-doom-for-dos;WinterMute/chocolate-doom;atroche/microdoom;webosbrew/chocolate-doom,5660,10900,9,0.3333333333,0.8040435459
chrisant996/clink,4736,187,0,,8758,8758,0,,0.7
chriskohlhoff/asio,5644,1326,0,,4616,4616,0,,0.01282051282
